""""," 15_電子部品(百万円)"," 16_輸送機械(百万円)"," 17_精密機械(百万円)"," 18_その他の製造工業製品(百万円)"," 19_建設(百万円)"," 20_電力・ガス・熱供給(百万円)"," 21_水道・廃棄物処理(百万円)"
"01_農林水産業","0.0","0.0","0.0","715.0","711.0","0.0","0.0"
"02_鉱業","0.0","0.0","1.0","53.0","4210.0","24457.0","3.0"
"03_飲食料品","0.0","0.0","0.0","141.0","0.0","0.0","0.0"
"04_繊維製品","54.0","31.0","81.0","574.0","1038.0","26.0","130.0"
"","","","","","","",""
"05_ﾊﾟﾙﾌﾟ･紙･木製品","105.0","87.0","112.0","2968.0","16335.0","263.0","278.0"
"06_化学製品","272.0","154.0","130.0","13788.0","1563.0","115.0","1234.0"
"07_石油･石炭製品","28.0","43.0","53.0","239.0","6004.0","8073.0","1230.0"
"08_窯業･土石製品","492.0","18.0","4200.0","400.0","25495.0","9.0","219.0"
"","","","","","","",""
"09_鉄鋼","73.0","1613.0","190.0","405.0","9783.0","0.0","30.0"
"10_非鉄金属","498.0","166.0","1217.0","911.0","3117.0","102.0","12.0"
"11_金属製品","285.0","360.0","1592.0","1316.0","35770.0","106.0","54.0"
"12_一般機械","55.0","381.0","276.0","282.0","2770.0","1.0","334.0"
"","","","","","","",""
"13_電気機械","325.0","213.0","537.0","32.0","2955.0","1.0","7.0"
"14_情報・通信機器","3.0","51.0","4.0","6.0","760.0","1.0","4.0"
"15_電子部品","4953.0","33.0","6913.0","441.0","77.0","2.0","1.0"
"16_輸送機械","0.0","2164.0","0.0","0.0","0.0","0.0","0.0"
"","","","","","","",""
"17_精密機械","7.0","22.0","1659.0","24.0","39.0","0.0","7.0"
"18_その他の製造工業製品","417.0","221.0","2900.0","18474.0","6693.0","1210.0","2563.0"
"19_建設","94.0","20.0","348.0","388.0","1028.0","2980.0","1054.0"
"20_電力・ガス・熱供給","314.0","140.0","1207.0","1808.0","1772.0","5098.0","3891.0"
"","","","","","","",""
"21_水道・廃棄物処理","43.0","14.0","77.0","211.0","1104.0","994.0","5041.0"
"22_商業","663.0","728.0","2757.0","7222.0","26069.0","2825.0","1812.0"
"23_金融・保険","153.0","254.0","1965.0","1912.0","6833.0","4852.0","791.0"
"24_不動産","24.0","21.0","202.0","294.0","1030.0","1201.0","192.0"
"","","","","","","",""
"25_運輸","294.0","210.0","1181.0","8256.0","29039.0","3698.0","3089.0"
"26_情報通信","160.0","42.0","529.0","926.0","5073.0","2562.0","2623.0"
"27_公務","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"28_教育・研究","2459.0","200.0","5948.0","2187.0","542.0","5032.0","13.0"
"","","","","","","",""
"29_医療･保健･社会保障･介護","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"30_その他の公共サ－ビス","11.0","5.0","65.0","93.0","388.0","211.0","552.0"
"31_対事業所サ－ビス","674.0","288.0","3398.0","3805.0","34824.0","11499.0","6203.0"
"32_対個人サ－ビス","3.0","0.0","8.0","32.0","211.0","20.0","17.0"
"","","","","","","",""
"33_事務用品","21.0","6.0","29.0","74.0","164.0","115.0","165.0"
"34_分類不明","14.0","22.0","123.0","402.0","3393.0","426.0","548.0"
"","","","","","","",""
"","","","","","","",""
"35_内生部門計","12494.0","7507.0","37702.0","68379.0","228790.0","75879.0","32099.0"
"","","","","","","",""
"","","","","","","",""
"37_家計外消費支出","482.0","366.0","1003.0","2666.0","6153.0","2293.0","1670.0"
"38_雇用者所得","4206.0","2219.0","9304.0","27200.0","118260.0","17366.0","20940.0"
"39_営業余剰","298.0","382.0","6442.0","5117.0","23441.0","12979.0","16764.0"
"40_資本減耗引当","1162.0","614.0","2493.0","5224.0","24373.0","23503.0","13046.0"
"41_間接税(除関税等)","389.0","302.0","993.0","3689.0","14502.0","9248.0","4216.0"
"42_〔控除〕補助金","-2.0","-1.0","-5.0","-9.0","-2066.0","-584.0","-1749.0"
"","","","","","","",""
"","","","","","","",""
"43_粗付加価値部門計","6535.0","3882.0","20230.0","43887.0","184663.0","64805.0","54887.0"
"","","","","","","",""
"","","","","","","",""
"44_県内生産額（ＣＴ）","19029.0","11389.0","57932.0","112266.0","413453.0","140684.0","86986.0"
